Team Name,Year,Blocked Shots Per Game,Scoring Margin,Three Pt FG Defense,Turnovers Per Game,Field-Goal Percentage,Won-Lost Percentage,Scoring Offense,Rebound Margin,Three-Point Field-Goal Percentage,Field-Goal Percentage Defense,Free-Throw Percentage,Assists Per Game,Turnover Margin,Scoring Defense,Three-Point Field Goals Per Game,Personal Fouls Per Game,Steals Per Game,Qualify Prediction,Probability Yes,Probability No
Auburn,2019,6.2,20.7,35,13.5,46.3,84.6,85.2,5.5,34.9,41.1,67.5,16.9,7.4,64.5,10.5,1,10.4,Yes,0.672726194,0.327273806
Texas Tech,2019,4.8,21.5,24.7,12.8,48.4,92.3,74.3,5.8,34.8,33.4,68.8,15.2,4.7,52.8,6,5,7.8,Yes,0.6645556379,0.3354443621
Houston,2019,4.7,16.5,25.9,11.6,43.4,100,74.4,8.6,33,35.4,72.4,15.1,1.3,57.9,8.8,0,6.9,Yes,0.6464138023,0.3535861977
Virginia,2019,2.8,23.3,24.7,8.6,47.5,100,74.7,5.5,39.1,37.6,78.1,15.1,4.8,51.4,8.3,0,6.8,Yes,0.5869138209,0.4130861791
FIU,2019,4.1,10.9,32,14.7,46.7,71.4,92.6,-6.9,29.9,44.8,64.2,16.7,7.9,81.7,9.1,4,12.4,Yes,0.5803372116,0.4196627884
Marquette,2019,4.6,11.4,30.7,14.7,45.7,78.6,79.1,8.4,38.1,39.7,74.9,14.6,-2.2,67.7,9.3,1,5.5,Yes,0.5803087391,0.4196912609
Tennessee,2019,6.2,19.1,29.7,11.7,51.1,91.7,85.5,5.8,34.9,37.7,72.3,21.2,2,66.4,6.7,2,5.8,Yes,0.5620912513,0.4379087487
Iowa St.,2019,4.8,17.7,31.6,10.7,48.5,84.6,82.5,5.1,34.9,40.3,72.3,16.8,4.1,64.8,8.7,0,7.6,Yes,0.5619132937,0.4380867063
Cincinnati,2019,4.9,17.1,33.4,10.4,46.7,85.7,75.4,7.1,36.5,38.5,72.4,15.5,4.4,58.2,6.3,1,6.9,Yes,0.5609710835,0.4390289165
Michigan,2019,4.3,17.7,29.6,9.6,46.6,100,72.8,4.2,37.6,38.7,65.4,14.4,4.1,55.1,8.2,0,6.6,Yes,0.5555067798,0.4444932202
Oregon St.,2019,5.8,8.3,35.2,13.4,46.4,66.7,73.3,7.1,32.3,39.2,74.2,15.3,-1.3,64.9,6.7,2,6.3,Yes,0.5453738154,0.4546261846
Murray St.,2019,5.6,18.6,26.9,13.3,49.6,83.3,81.9,3.8,35.6,38.9,74.2,19,2.9,63.3,8.2,2,8.2,Yes,0.5347889353,0.4652110647
Duke,2019,8,27.8,28.3,12.8,49.3,91.7,91.6,10.1,32.4,36.9,67.9,18.3,4.8,63.8,8,0,11.5,Yes,0.5338822953,0.4661177047
Wofford,2019,2.7,19.3,32.5,11.1,48.6,73.3,83.7,8.4,39.5,41.5,72,15.6,3.3,64.3,10.7,5,7.4,Yes,0.5116440054,0.4883559946
Mississippi St.,2019,5.1,13.5,33.8,12.9,48.2,92.3,80.2,6.7,38.2,42.8,76,16,1.2,66.7,9.5,2,7.8,Yes,0.511076113,0.488923887
Maryland,2019,5.5,11.6,33.3,13.6,48.1,78.6,77.2,11.8,34.6,40.7,71.8,14.4,-2.1,65.6,7.3,0,5.4,Yes,0.5038596317,0.4961403683
Liberty,2019,2.7,17.5,31.1,11.4,49.9,73.3,78.7,2.5,39.1,41,76.6,16.7,3.1,61.3,10.5,2,7.6,Yes,0.5022911702,0.4977088298
