,Team Name,Year,Assists Per Game,Turnovers Per Game,Personal Fouls Per Game,Steals Per Game,Free-Throw Percentage,Field-Goal Percentage,Three-Point Field-Goal Percentage,Turnover Margin,Blocked Shots Per Game,Scoring Margin,Won-Lost Percentage,Three Pt FG Defense,Scoring Offense,Scoring Defense,Three-Point Field Goals Per Game,Rebound Margin,Field-Goal Percentage Defense,Qualified,adaPredictions
0,Cornell,2016,10.8,13.3,12,7.8,65.1,42.0,34.1,1.4,3.8,-7.2,35.7,35.9,71.1,78.3,8.3,-10.4,44.4,No,No
1,Cornell,2017,14.5,14.4,10,5.2,69.8,45.3,33.9,-3.3,2.7,-5.7,27.6,35.4,71.5,77.2,8.4,-1.9,45.6,No,No
2,Cornell,2018,16.0,13.4,12,5.1,73.0,46.1,34.0,-2.0,3.5,-4.5,42.9,38.9,75.9,80.4,7.8,-2.9,45.3,No,No
3,Cornell,2010,16.0,12.2,10,7.1,73.0,48.2,43.0,1.4,3.6,11.5,85.3,34.0,74.9,63.4,9.6,3.1,41.9,Yes,Yes
4,Cornell,2011,14.5,12.1,10,6.6,68.9,41.6,37.4,1.6,2.5,-2.0,35.7,34.3,68.1,70.1,9.0,-3.5,45.6,No,No
5,Cornell,2012,13.5,13.5,16,7.8,68.4,40.8,34.1,2.0,3.0,-2.3,42.9,30.7,65.5,67.8,7.8,-5.6,41.8,No,No
6,Cornell,2013,11.7,13.3,8,6.8,70.4,42.4,34.2,0.6,3.6,-4.1,41.9,39.2,65.8,69.9,6.7,-1.2,46.0,No,No
7,Cornell,2015,10.4,12.0,13,6.2,74.9,39.5,31.3,1.1,4.7,1.0,43.3,32.8,62.3,61.3,6.0,-3.7,38.9,No,No
8,McNeese St.,2010,11.9,14.3,14,7.4,64.2,43.3,34.9,-0.1,3.6,-2.4,33.3,36.0,67.7,70.1,6.1,0.7,43.8,No,No
9,McNeese St.,2011,11.2,12.2,20,6.5,74.6,43.6,35.3,1.9,3.1,2.8,63.6,33.3,74.1,71.3,6.8,-1.2,43.1,No,No
10,McNeese St.,2012,10.6,12.2,17,6.7,67.5,42.2,32.1,1.5,3.6,0.7,51.5,32.3,66.9,66.2,5.2,1.2,42.9,No,No
11,McNeese St.,2013,12.3,12.1,10,7.8,64.3,41.7,33.0,1.2,4.8,-3.8,45.2,32.5,66.3,70.1,5.2,-4.2,43.2,No,No
12,McNeese St.,2015,13.2,10.7,12,7.2,65.1,42.3,31.1,1.8,4.7,-1.8,48.4,34.7,69.5,71.3,6.2,-1.3,45.1,No,No
13,UTSA,2016,11.4,13.6,18,6.4,70.2,41.6,31.8,-0.8,2.5,-11.9,15.6,40.8,72.4,84.3,6.9,-2.9,50.8,No,No
14,UTSA,2017,10.8,12.7,20,5.5,66.6,39.3,28.3,-0.4,1.9,-3.4,42.4,35.0,66.0,69.4,5.2,4.0,43.4,No,No
15,UTSA,2018,14.1,12.6,15,6.2,67.5,43.7,36.1,-0.3,2.7,3.2,57.1,34.4,78.3,75.1,10.1,1.7,41.6,No,No
16,UTSA,2010,11.7,11.6,6,6.6,76.1,44.0,36.3,1.9,1.7,4.6,63.3,28.4,70.7,66.1,6.3,2.0,44.9,No,No
17,UTSA,2011,12.6,13.6,12,7.1,70.5,42.9,35.1,0.6,2.2,0.6,58.8,33.2,70.1,69.5,6.9,-1.6,41.9,Yes,Yes
18,UTSA,2012,13.5,13.8,13,8.2,74.3,44.7,39.4,2.3,3.0,5.3,56.3,32.3,73.1,67.8,8.5,-2.5,41.9,No,No
19,UTSA,2013,10.1,13.5,9,6.2,67.6,40.1,33.4,-0.1,1.3,-5.5,31.3,35.4,64.0,69.5,7.4,-3.8,46.2,No,No
20,UTSA,2015,12.3,12.3,5,7.1,69.9,42.2,32.5,1.4,2.3,0.3,46.7,36.3,70.7,70.4,6.4,2.2,45.0,No,No
21,Savannah St.,2016,10.3,14.8,6,6.3,65.9,39.6,31.5,0.8,2.6,-5.5,50.0,34.8,62.2,67.7,6.4,-4.1,43.6,No,No
22,Savannah St.,2017,17.3,14.9,4,7.8,64.8,41.0,33.2,1.0,3.2,-6.2,44.8,33.2,85.7,91.9,13.5,-8.3,45.2,No,No
23,Savannah St.,2018,15.8,14.0,10,9.4,69.6,40.0,30.0,4.0,2.8,-7.4,46.9,35.6,86.1,93.5,12.2,-9.5,49.3,No,No
24,Savannah St.,2011,10.5,14.9,11,7.2,66.1,41.0,31.1,0.3,3.5,0.3,40.0,31.5,60.6,60.3,5.5,-1.0,40.3,No,No
25,Savannah St.,2012,12.8,14.8,13,7.0,58.9,41.7,32.8,1.4,3.4,4.2,63.6,29.6,63.3,59.1,5.8,4.7,42.6,No,No
26,Savannah St.,2015,9.3,16.5,13,8.9,57.6,41.0,25.2,0.4,2.4,-10.1,29.0,36.2,56.7,66.8,3.4,-3.9,46.7,No,No
27,Md.-East. Shore,2010,11.2,15.2,17,5.4,64.4,40.1,30.5,-3.1,2.1,-8.5,34.4,29.8,60.8,69.3,5.0,0.4,44.3,No,No
28,Md.-East. Shore,2011,12.3,14.5,22,6.6,65.3,40.5,29.0,0.7,1.6,-10.1,29.0,35.4,67.6,77.7,5.3,-4.4,47.2,No,No
29,Maine,2016,14.4,16.4,17,8.3,65.6,43.2,33.9,0.2,3.0,-10.9,26.7,36.9,76.0,86.9,7.6,-5.3,49.7,No,No
30,Maine,2017,11.8,13.1,10,5.2,65.4,40.3,31.9,-1.5,2.0,-10.3,21.9,35.9,64.7,75.0,6.6,-2.3,46.1,No,No
31,Maine,2018,11.8,15.5,16,6.4,68.9,40.8,30.2,-1.9,2.9,-8.4,18.8,33.8,66.9,75.3,7.0,-3.4,43.9,No,No
32,Maine,2011,13.2,12.9,15,5.6,69.9,46.1,35.4,-0.8,3.4,2.6,50.0,36.9,69.6,67.0,6.4,0.6,41.9,No,No
33,Maine,2012,14.1,13.1,22,6.1,73.2,44.2,32.6,0.0,4.3,0.2,41.4,34.9,68.6,68.3,5.8,-2.3,41.4,No,No
34,Maine,2013,12.8,15.0,18,7.0,65.5,43.4,29.4,-2.8,4.1,-3.4,36.7,35.5,66.3,69.7,5.2,1.0,41.7,No,No
