Team Name,Year,Assists Per Game,Turnovers Per Game,Personal Fouls Per Game,Steals Per Game,Free-Throw Percentage,Field-Goal Percentage,Three-Point Field-Goal Percentage,Turnover Margin,Blocked Shots Per Game,Scoring Margin,Won-Lost Percentage,Three Pt FG Defense,Scoring Offense,Scoring Defense,Three-Point Field Goals Per Game,Rebound Margin,Field-Goal Percentage Defense,Qualified
Cornell,2016,10.8,13.3,12,7.8,65.1,42,34.1,1.4,3.8,-7.2,35.7,35.9,71.1,78.3,8.3,-10.4,44.4,No
Cornell,2017,14.5,14.4,10,5.2,69.8,45.3,33.9,-3.3,2.7,-5.7,27.6,35.4,71.5,77.2,8.4,-1.9,45.6,No
Cornell,2018,16,13.4,12,5.1,73,46.1,34,-2,3.5,-4.5,42.9,38.9,75.9,80.4,7.8,-2.9,45.3,No
Cornell,2010,16,12.2,10,7.1,73,48.2,43,1.4,3.6,11.5,85.3,34,74.9,63.4,9.6,3.1,41.9,Yes
Cornell,2011,14.5,12.1,10,6.6,68.9,41.6,37.4,1.6,2.5,-2,35.7,34.3,68.1,70.1,9,-3.5,45.6,No
Cornell,2012,13.5,13.5,16,7.8,68.4,40.8,34.1,2,3,-2.3,42.9,30.7,65.5,67.8,7.8,-5.6,41.8,No
Cornell,2013,11.7,13.3,8,6.8,70.4,42.4,34.2,0.6,3.6,-4.1,41.9,39.2,65.8,69.9,6.7,-1.2,46,No
Cornell,2015,10.4,12,13,6.2,74.9,39.5,31.3,1.1,4.7,1,43.3,32.8,62.3,61.3,6,-3.7,38.9,No
McNeese St.,2010,11.9,14.3,14,7.4,64.2,43.3,34.9,-0.1,3.6,-2.4,33.3,36,67.7,70.1,6.1,0.7,43.8,No
McNeese St.,2011,11.2,12.2,20,6.5,74.6,43.6,35.3,1.9,3.1,2.8,63.6,33.3,74.1,71.3,6.8,-1.2,43.1,No
McNeese St.,2012,10.6,12.2,17,6.7,67.5,42.2,32.1,1.5,3.6,0.7,51.5,32.3,66.9,66.2,5.2,1.2,42.9,No
McNeese St.,2013,12.3,12.1,10,7.8,64.3,41.7,33,1.2,4.8,-3.8,45.2,32.5,66.3,70.1,5.2,-4.2,43.2,No
McNeese St.,2015,13.2,10.7,12,7.2,65.1,42.3,31.1,1.8,4.7,-1.8,48.4,34.7,69.5,71.3,6.2,-1.3,45.1,No
UTSA,2016,11.4,13.6,18,6.4,70.2,41.6,31.8,-0.8,2.5,-11.9,15.6,40.8,72.4,84.3,6.9,-2.9,50.8,No
UTSA,2017,10.8,12.7,20,5.5,66.6,39.3,28.3,-0.4,1.9,-3.4,42.4,35,66,69.4,5.2,4,43.4,No
UTSA,2018,14.1,12.6,15,6.2,67.5,43.7,36.1,-0.3,2.7,3.2,57.1,34.4,78.3,75.1,10.1,1.7,41.6,No
