,Team Name,Year,Assists Per Game,Turnovers Per Game,Personal Fouls Per Game,Steals Per Game,Free-Throw Percentage,Field-Goal Percentage,Three-Point Field-Goal Percentage,Turnover Margin,Blocked Shots Per Game,Scoring Margin,Won-Lost Percentage,Three Pt FG Defense,Scoring Offense,Scoring Defense,Three-Point Field Goals Per Game,Rebound Margin,Field-Goal Percentage Defense,Qualified,adaPredictions
17,UTSA,2011,12.6,13.6,12,7.1,70.5,42.9,35.1,0.6,2.2,0.6,58.8,33.2,70.1,69.5,6.9,-1.6,41.9,Yes,No
43,Michigan,2016,14.9,9.7,3,5.6,73.8,46.2,38.0,2.4,2.3,6.4,63.9,34.6,73.8,67.4,9.5,-1.1,44.8,Yes,No
90,North Dakota,2017,15.2,13.1,26,7.8,71.3,48.3,39.0,1.9,2.9,6.9,68.8,35.1,80.6,73.7,7.1,0.7,44.3,Yes,No
147,UNLV,2011,15.4,12.5,8,8.1,68.9,45.9,33.0,3.7,3.7,8.7,72.7,32.9,71.6,62.9,5.6,1.4,40.5,Yes,No
148,UNLV,2012,17.6,13.3,14,8.5,67.6,45.7,36.4,2.1,4.8,10.4,74.3,33.7,76.3,65.9,8.3,2.9,41.0,Yes,No
172,James Madison,2013,11.8,11.1,11,7.6,69.9,42.1,33.6,2.5,4.6,0.6,58.3,34.7,65.2,64.6,5.9,-1.6,42.8,Yes,No
219,Temple,2012,15.4,12.5,7,7.2,71.9,46.9,39.7,0.8,4.2,5.5,75.0,34.0,75.0,69.5,7.1,0.8,43.5,No,Yes
222,Chattanooga,2016,14.4,12.5,6,7.8,73.5,45.7,35.9,1.7,4.7,8.2,82.9,33.1,75.8,67.5,7.5,3.2,44.0,No,Yes
301,North Carolina,2015,17.4,12.7,13,6.6,70.1,47.6,35.8,-0.3,4.2,8.9,68.4,30.0,77.7,68.8,4.8,7.7,39.8,No,Yes
302,Austin Peay,2016,13.3,13.9,12,6.9,67.0,46.1,34.6,-0.6,2.8,-0.6,50.0,36.0,76.1,76.7,6.2,2.5,46.1,Yes,No
312,Michigan St.,2010,16.4,13.9,12,6.5,68.5,47.1,34.4,-1.5,3.3,8.0,75.7,32.8,71.8,63.8,5.1,8.6,40.6,No,Yes
322,Creighton,2017,17.1,12.4,7,6.1,68.2,50.5,39.6,1.5,2.9,9.0,71.4,33.0,81.8,72.8,8.7,-1.0,43.7,Yes,No
327,Creighton,2013,16.9,12.3,8,4.8,75.9,50.1,41.4,-1.8,2.6,11.3,77.8,31.2,74.4,63.2,8.5,4.6,40.7,Yes,No
356,Oregon,2016,13.6,11.3,12,7.2,71.4,46.7,34.3,2.7,5.8,9.9,81.6,36.1,78.7,68.8,6.8,3.4,42.3,Yes,No
357,Oregon,2017,15.7,11.6,9,6.5,71.2,48.1,38.0,1.6,6.4,13.1,84.6,31.3,78.9,65.8,8.6,4.2,40.3,Yes,No
362,Oregon,2013,13.1,15.0,6,8.5,70.5,44.7,33.3,0.4,3.9,8.1,75.7,33.4,71.6,63.6,5.2,6.2,41.4,Yes,No
363,Oregon,2015,14.1,11.7,14,5.8,76.1,46.3,36.2,-0.2,4.4,4.5,72.2,33.0,75.4,70.8,7.3,1.3,42.2,Yes,No
413,Ohio,2010,14.2,12.8,20,7.5,71.9,43.0,36.6,2.5,2.6,5.2,59.5,31.2,74.7,69.4,7.5,-0.7,41.8,Yes,No
444,Cincinnati,2017,15.5,10.0,3,7.2,68.6,45.8,34.5,3.2,4.9,12.9,83.3,34.4,74.3,61.3,7.3,4.5,38.8,Yes,No
448,Cincinnati,2012,12.9,10.9,13,8.1,64.4,42.1,34.1,3.1,4.6,6.6,70.3,32.3,68.2,61.5,7.0,0.2,41.2,Yes,No
450,Cincinnati,2015,11.6,12.7,5,6.5,67.0,44.6,32.9,-0.7,5.4,6.3,67.6,31.9,62.1,55.8,4.9,4.5,38.8,Yes,No
474,West Virginia,2017,16.4,12.3,4,10.0,68.5,45.4,36.2,7.7,4.8,14.8,75.7,35.3,81.5,66.7,7.4,3.0,42.4,Yes,No
