,0,1,2,3,4,5,6,7,8,9
0,Blocked Shots Per Game,2010,,,,,,,,
1,1,Marshall,34,268,7.9,Blocked Shots Per Game,2010,,,
2,2,Connecticut,34,260,7.6,Blocked Shots Per Game,2010,,,
3,3,Mississippi St.,36,271,7.5,Blocked Shots Per Game,2010,,,
4,4,Kentucky,38,273,7.2,Blocked Shots Per Game,2010,,,
5,5,Rutgers,32,227,7.1,Blocked Shots Per Game,2010,,,
6,6,Baylor,36,242,6.7,Blocked Shots Per Game,2010,,,
7,7,Kansas,36,232,6.4,Blocked Shots Per Game,2010,,,
8,8,Hofstra,34,219,6.4,Blocked Shots Per Game,2010,,,
9,9,Syracuse,35,221,6.3,Blocked Shots Per Game,2010,,,
10,10,Florida St.,32,200,6.3,Blocked Shots Per Game,2010,,,
11,11,South Carolina,31,188,6.1,Blocked Shots Per Game,2010,,,
12,12,Utah,31,186,6.0,Blocked Shots Per Game,2010,,,
13,13,Southeastern La.,31,178,5.7,Blocked Shots Per Game,2010,,,
14,14,UNC Asheville,31,177,5.7,Blocked Shots Per Game,2010,,,
15,15,Texas,34,194,5.7,Blocked Shots Per Game,2010,,,
16,16,Minnesota,35,199,5.7,Blocked Shots Per Game,2010,,,
17,17,North Carolina,37,210,5.7,Blocked Shots Per Game,2010,,,
18,18,Tulsa,35,195,5.6,Blocked Shots Per Game,2010,,,
19,19,Murray St.,36,196,5.4,Blocked Shots Per Game,2010,,,
20,20,Memphis,34,182,5.4,Blocked Shots Per Game,2010,,,
21,21,Alabama A&M,27,143,5.3,Blocked Shots Per Game,2010,,,
22,22,Georgia Tech,36,190,5.3,Blocked Shots Per Game,2010,,,
23,23,Mississippi,35,184,5.3,Blocked Shots Per Game,2010,,,
24,24,Seton Hall,32,168,5.3,Blocked Shots Per Game,2010,,,
25,25,Wake Forest,31,162,5.2,Blocked Shots Per Game,2010,,,
26,26,Vanderbilt,33,171,5.2,Blocked Shots Per Game,2010,,,
27,27,St. Mary's (CA),34,176,5.2,Blocked Shots Per Game,2010,,,
28,28,Furman,30,154,5.1,Blocked Shots Per Game,2010,,,
29,29,Fairfield,34,174,5.1,Blocked Shots Per Game,2010,,,
30,30,Rhode Island,36,182,5.1,Blocked Shots Per Game,2010,,,
31,31,Kansas St.,37,187,5.1,Blocked Shots Per Game,2010,,,
32,32,N.C. A&T,33,164,5.0,Blocked Shots Per Game,2010,,,
33,33,VMI,29,144,5.0,Blocked Shots Per Game,2010,,,
34,34,Northwestern St.,29,143,4.9,Blocked Shots Per Game,2010,,,
35,35,Iowa St.,32,156,4.9,Blocked Shots Per Game,2010,,,
36,36,Towson,31,151,4.9,Blocked Shots Per Game,2010,,,
37,-,UNC Wilmington,31,151,4.9,Blocked Shots Per Game,2010,,,
38,38,Oakland,35,169,4.8,Blocked Shots Per Game,2010,,,
39,39,Col. of Charleston,34,162,4.8,Blocked Shots Per Game,2010,,,
40,40,Georgetown,34,161,4.7,Blocked Shots Per Game,2010,,,
41,41,Jacksonville St.,30,142,4.7,Blocked Shots Per Game,2010,,,
42,42,Clemson,32,151,4.7,Blocked Shots Per Game,2010,,,
43,43,Missouri,34,160,4.7,Blocked Shots Per Game,2010,,,
44,44,St. Louis,36,169,4.7,Blocked Shots Per Game,2010,,,
45,45,Harvard,29,136,4.7,Blocked Shots Per Game,2010,,,
46,46,Georgia,31,145,4.7,Blocked Shots Per Game,2010,,,
47,-,IPFW,31,145,4.7,Blocked Shots Per Game,2010,,,
48,48,Maryland,33,154,4.7,Blocked Shots Per Game,2010,,,
49,-,La Salle,30,140,4.7,Blocked Shots Per Game,2010,,,
50,50,Virginia Tech,34,158,4.6,Blocked Shots Per Game,2010,,,
51,Blocked Shots Per Game,2010,,,,,,,,
52,51,IUPUI,36,167,4.6,Blocked Shots Per Game,2010,,,
53,52,Purdue,35,162,4.6,Blocked Shots Per Game,2010,,,
54,53,Mt. St. Mary's,31,143,4.6,Blocked Shots Per Game,2010,,,
55,54,San Diego St.,34,156,4.6,Blocked Shots Per Game,2010,,,
56,55,Fla. Atlantic,30,137,4.6,Blocked Shots Per Game,2010,,,
57,56,Washington St.,31,140,4.5,Blocked Shots Per Game,2010,,,
58,57,Oral Roberts,33,149,4.5,Blocked Shots Per Game,2010,,,
59,58,Richmond,35,158,4.5,Blocked Shots Per Game,2010,,,
60,59,Niagara,33,148,4.5,Blocked Shots Per Game,2010,,,
61,60,Coastal Caro.,35,156,4.5,Blocked Shots Per Game,2010,,,
62,61,La.-Lafayette,30,133,4.4,Blocked Shots Per Game,2010,,,
63,62,Miami (FL),33,146,4.4,Blocked Shots Per Game,2010,,,
64,63,Loyola Maryland,30,132,4.4,Blocked Shots Per Game,2010,,,
65,-,Southern California,30,132,4.4,Blocked Shots Per Game,2010,,,
66,-,St. Peter's,30,132,4.4,Blocked Shots Per Game,2010,,,
67,66,Providence,31,136,4.4,Blocked Shots Per Game,2010,,,
68,67,Nevada,34,149,4.4,Blocked Shots Per Game,2010,,,
69,68,Texas Tech,35,153,4.4,Blocked Shots Per Game,2010,,,
70,69,Fresno St.,33,143,4.3,Blocked Shots Per Game,2010,,,
71,70,Yale,31,134,4.3,Blocked Shots Per Game,2010,,,
72,71,Duquesne,32,138,4.3,Blocked Shots Per Game,2010,,,
73,72,North Carolina St.,36,154,4.3,Blocked Shots Per Game,2010,,,
74,73,Western Ill.,30,128,4.3,Blocked Shots Per Game,2010,,,
75,74,Wyoming,31,132,4.3,Blocked Shots Per Game,2010,,,
76,75,Ohio St.,37,157,4.2,Blocked Shots Per Game,2010,,,
77,76,James Madison,33,140,4.2,Blocked Shots Per Game,2010,,,
78,77,High Point,30,127,4.2,Blocked Shots Per Game,2010,,,
79,78,UCLA,32,135,4.2,Blocked Shots Per Game,2010,,,
80,79,Washington,36,151,4.2,Blocked Shots Per Game,2010,,,
81,80,Gonzaga,34,142,4.2,Blocked Shots Per Game,2010,,,
82,81,Arkansas St.,31,129,4.2,Blocked Shots Per Game,2010,,,
83,-,Alabama St.,31,129,4.2,Blocked Shots Per Game,2010,,,
84,83,Jacksonville,33,137,4.2,Blocked Shots Per Game,2010,,,
85,84,Loyola Marymount,34,141,4.1,Blocked Shots Per Game,2010,,,
86,85,Prairie View,30,124,4.1,Blocked Shots Per Game,2010,,,
87,86,VCU,36,148,4.1,Blocked Shots Per Game,2010,,,
88,87,Morgan St.,37,152,4.1,Blocked Shots Per Game,2010,,,
89,88,Fordham,28,115,4.1,Blocked Shots Per Game,2010,,,
90,89,Louisville,33,135,4.1,Blocked Shots Per Game,2010,,,
91,-,Winthrop,33,135,4.1,Blocked Shots Per Game,2010,,,
92,91,Pittsburgh,34,139,4.1,Blocked Shots Per Game,2010,,,
93,92,West Virginia,38,155,4.1,Blocked Shots Per Game,2010,,,
94,93,Charlotte,31,126,4.1,Blocked Shots Per Game,2010,,,
95,94,Arkansas,32,130,4.1,Blocked Shots Per Game,2010,,,
